name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q3#2_15,36,35,31,31,28,20,11,19,11
Q3#2_16,34,32,27,27,24,18,9,16,10
Q3#2_17,38,37,33,33,32,18,15,17,15
Q3#2_18,37,34,30,30,26,19,11,20,9
Q3#2_19,36,30,24,24,22,13,11,11,13
Q3#2_20,35,32,28,28,27,18,10,12,15
Q3#2_21,37,32,32,32,28,21,11,21,9
Q3#2_22,36,33,30,30,28,12,18,19,11
Q3#2_23,34,32,30,30,27,20,10,14,15
Q3#2_24,36,35,31,31,29,23,8,19,12
Q3#2_25,37,32,28,28,28,15,13,18,10
Q3#2_26,100,92,82,82,77,50,32,46,34
Q4_1,39,34,31,31,29,19,12,17,14
Q4_2,34,31,29,29,28,17,12,12,16
Q4_3,38,36,32,32,30,22,10,17,14
Q4_4,39,36,33,33,30,21,12,17,15
Q4_5,35,32,29,29,26,17,12,15,13
Q4_6,33,33,29,29,29,14,15,17,12
Q4_7,33,31,26,26,25,17,9,13,12
Q4_8,27,23,18,18,18,9,9,10,8
Q4_9,30,27,23,23,23,12,11,14,8
Q4_10,45,41,37,37,35,21,16,21,16
Q4_11,40,39,35,35,33,21,14,20,14
Q4_12,36,33,27,27,24,17,10,12,15
Q4_13,32,30,27,27,25,16,11,13,13
Q4_14,30,29,26,26,26,15,11,17,9
Q4_15,40,38,34,34,33,18,16,22,12
Q4_16,35,33,31,31,30,21,10,19,10
Q4_17,24,23,19,19,17,13,6,14,4
Q4_18,35,34,29,29,29,17,12,18,9
Q4_19,38,35,32,32,30,17,15,18,14
Q4_20,32,30,27,27,26,16,11,15,12
Q4_21,31,30,28,28,24,18,10,14,12
Q4_22,28,28,26,26,25,16,10,13,12
Q4_23,38,35,30,30,29,19,11,21,9
Q4_24,37,35,32,32,30,18,14,15,15
Q4_25,33,27,25,25,23,17,8,17,8
Q4_26,33,28,25,25,24,14,11,14,11
Q4_27,31,28,26,26,24,18,8,16,9
Q4_28,30,26,22,22,19,18,4,15,7
Q5_1,36,34,33,33,32,19,14,19,13
Q5_2,34,28,25,25,23,17,8,17,7
Q5_3,27,26,21,21,20,14,7,11,9
Q5_4,29,28,26,26,26,15,11,13,12
Q5_5,31,30,27,27,24,13,14,12,13
Q5_6,34,32,29,29,27,20,9,17,10
Q5_7,34,33,31,31,30,19,12,18,13
Q5_8,38,34,28,28,26,16,12,14,13
Q5_9,44,39,34,34,30,20,14,20,14
Q5_10,41,38,34,34,31,21,13,18,16
Q5_11,36,34,29,29,28,17,12,19,9
Q5_12,37,32,30,30,29,18,12,21,9
Q5_13,29,27,24,24,23,18,6,16,7
Q5_14,36,33,29,29,27,17,12,16,12
Q5_15,44,38,34,34,32,19,15,17,17
Q5_16,32,29,26,26,26,10,16,13,12
Q5_17,37,33,30,30,30,19,11,14,16
Q5_18,31,29,26,26,24,16,10,15,11
Q5_19,35,33,30,30,28,21,9,21,9
Q5_20,43,42,37,37,34,21,16,18,17
Q5_21,41,37,34,34,33,21,13,19,14
Q5_22,36,34,28,28,26,21,7,16,11
Q5_23,34,30,26,26,25,17,9,13,12
Q5_24,35,32,27,27,23,18,9,14,13
Q5_25,35,31,31,31,29,18,13,17,13
Q5_26,31,30,26,26,25,14,12,13,13
Q5_27,41,37,33,33,30,18,15,17,15
Q5_28,39,37,32,32,29,23,9,22,10
Q6_1,26,25,23,23,21,17,6,15,8
Q6_2,37,32,28,28,25,18,10,12,15
Q6_3,37,36,33,33,31,25,8,18,14
Q6_4,40,40,35,35,34,18,17,19,15
Q6_5,37,35,29,29,28,18,11,16,12
Q6_6,37,33,31,31,28,20,11,17,13
Q6_7,25,23,23,23,21,17,6,14,7
Q6_8,42,39,36,36,32,21,15,20,16
Q6_9,33,31,26,26,26,17,9,14,11
Q6_10,31,29,27,27,27,14,13,17,9
Q6_11,26,25,22,22,22,11,11,13,9
Q6_12,50,43,37,37,34,22,15,21,16
Q6_13,31,28,23,23,22,13,10,12,11
Q6_14,34,31,27,27,24,13,14,13,13
Q6_15,36,35,32,32,29,23,9,18,14
Q6_16,31,29,25,25,24,14,11,15,9
Q6_17,36,32,28,28,27,14,14,15,12
Q6_18,35,34,28,28,26,18,10,15,12
Q6_19,33,32,28,28,27,17,11,14,13
Q6_20,26,21,21,21,19,11,10,13,7
Q6_21,34,31,28,28,28,17,11,18,10
Q6_22,32,30,27,27,24,16,11,17,9
Q6_23,46,42,40,40,39,25,15,23,17
Q6_24,40,39,34,34,33,22,12,21,13
Q6_25,34,31,28,28,26,17,11,15,12
Q6_26,34,29,27,27,24,15,12,16,10
Q6_27,35,31,28,28,27,18,10,18,10
Q6_28,30,29,24,24,23,16,8,14,9
