name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q5_7,34,30,29,26,26,23,19,10,18,10
Q5_8,35,31,30,26,26,22,20,10,21,7
Q5_9,34,32,29,27,27,24,16,13,15,12
Q5_10,33,27,25,22,22,18,15,10,17,7
Q5_11,35,34,32,29,29,26,19,13,19,12
Q5_12,34,33,30,25,25,21,17,13,19,10
Q5_13,33,30,29,28,28,24,16,13,21,7
Q5_14,36,33,31,27,27,25,17,14,18,11
Q5_15,35,33,31,29,29,25,17,14,22,8
Q5_16,32,30,30,28,28,28,19,11,19,11
Q5_17,35,32,29,26,26,23,17,12,18,10
Q5_18,34,34,31,28,28,24,22,9,21,8
Q5_19,36,33,32,30,30,28,23,9,21,10
Q5_20,35,29,28,23,23,20,20,8,18,9
Q5_21,34,31,31,26,26,24,17,14,24,6
Q5_22,34,32,30,25,25,23,17,13,19,11
Q5_23,35,33,31,26,26,25,18,13,16,15
Q5_24,35,32,29,25,25,24,19,10,17,11
Q5_25,33,31,30,27,27,24,16,14,18,10
Q5_26,34,30,30,26,26,22,16,14,18,11
Q5_27,33,29,27,22,22,21,17,10,18,8
Q5_28,34,32,29,24,24,20,16,13,17,10
Q5_29,34,32,30,25,25,23,22,8,19,11
Q5_30,36,30,29,26,26,24,17,12,20,9
Q5_31,103,94,89,78,78,70,53,36,56,30
Q6_1,47,41,37,31,31,28,21,16,21,15
Q6_2,27,24,23,20,20,18,14,9,14,9
Q6_3,35,33,31,28,28,24,16,15,18,12
Q6_4,42,38,36,31,31,28,27,9,23,13
Q6_5,31,30,28,23,23,21,17,11,19,8
Q6_6,31,28,27,24,24,22,18,9,18,9
Q6_7,31,30,29,24,24,23,20,9,13,14
Q6_8,42,37,36,31,31,28,18,18,21,13
Q6_9,38,36,35,28,28,25,21,14,23,10
Q6_10,36,32,32,28,28,25,19,13,19,13
Q6_11,23,21,17,14,14,12,9,8,9,8
Q6_12,31,29,27,24,24,21,16,11,20,6
Q6_13,25,23,20,17,17,16,16,4,14,6
Q6_14,35,32,31,27,27,23,19,12,20,9
Q6_15,31,27,27,23,23,20,14,13,19,8
Q6_16,36,32,32,30,30,29,20,12,22,9
Q6_17,34,31,28,23,23,19,13,15,13,13
Q6_18,33,29,29,26,26,23,21,8,22,6
Q6_19,40,37,35,34,34,31,16,19,21,12
Q6_20,32,28,26,23,23,20,16,10,15,10
Q6_21,31,28,25,21,21,19,18,7,15,8
Q6_22,38,36,33,30,30,25,20,13,24,9
Q6_23,34,32,29,26,26,23,18,11,20,8
Q6_24,32,29,29,26,26,24,13,16,18,9
Q6_25,38,35,32,26,26,22,19,13,18,13
Q6_26,32,29,27,24,24,24,19,8,15,12
Q6_27,38,35,35,32,32,30,24,11,26,7
Q6_28,40,38,37,33,33,32,21,16,25,11
Q6_29,30,25,24,22,22,17,10,14,17,6
Q6_30,37,35,33,31,31,28,17,16,18,14
Q7_1,36,31,28,23,23,22,17,11,15,13
Q7_2,38,34,34,32,32,30,18,16,21,10
Q7_3,33,29,26,23,23,21,14,12,17,8
Q7_4,41,34,32,29,29,26,23,9,18,13
Q7_5,32,29,28,24,24,22,17,11,16,11
Q7_6,37,33,32,29,29,25,22,10,16,14
Q7_7,23,23,22,20,20,17,17,5,15,7
Q7_8,34,31,28,24,24,23,16,12,21,6
Q7_9,35,34,31,26,26,25,21,10,17,12
Q7_10,36,32,31,26,26,23,21,10,20,10
Q7_11,39,35,35,29,29,28,21,14,19,15
Q7_12,36,35,34,32,32,28,21,13,22,11
Q7_13,40,38,35,33,33,29,24,11,23,11
Q7_14,38,36,35,30,30,29,23,12,20,14
Q7_15,32,29,27,27,27,23,12,15,17,9
Q7_16,26,20,19,18,18,15,11,8,15,4
Q7_17,28,26,24,21,21,18,16,8,17,7
Q7_18,28,27,27,21,21,19,15,12,18,8
Q7_19,35,34,31,27,27,23,19,12,18,12
Q7_20,42,40,38,30,30,26,23,15,25,12
Q7_21,27,26,23,20,20,18,15,8,15,6
Q7_22,33,29,27,22,22,21,15,12,19,7
Q7_23,45,41,41,34,34,31,22,19,25,15
Q7_24,37,34,31,29,29,27,18,13,21,9
Q7_25,30,27,25,23,23,19,13,12,16,8
Q7_26,26,24,23,21,21,18,11,12,16,6
Q7_27,31,26,25,22,22,19,13,12,18,7
Q7_28,36,32,31,26,26,23,18,13,21,9
Q7_29,35,35,34,29,29,25,17,17,22,11
Q7_30,41,36,33,30,30,27,17,16,17,15
