name,All,Passed Attention Check,Passed Attention Check and Correct Code,Passed Attention Check and Correct Code and Not Too Fast,Passed Attention Check and Correct Code and Not Extremely Fast,Passed Attention Check and Correct Code and Not Extremely Fast and Non-duplicate IPs,Male Passed Attention Check and Correct Code,Female Passed Attention Check and Correct Code,Democrat Passed Attention Check and Correct Code,Republican Passed Attention Check and Correct Code
Q7_11,39,35,35,29,29,28,21,14,19,15
Q7_12,36,35,34,32,32,28,21,13,22,11
Q7_13,40,39,36,34,34,29,24,12,24,11
Q7_14,38,36,35,30,30,29,23,12,20,14
Q7_15,32,29,27,27,27,23,12,15,17,9
Q7_16,26,22,21,20,20,15,11,10,17,4
Q7_17,28,27,25,22,22,18,16,9,18,7
Q7_18,28,27,27,21,21,19,15,12,18,8
Q7_19,35,34,31,27,27,23,19,12,18,12
Q7_20,42,40,38,30,30,26,23,15,25,12
Q7_21,27,27,24,21,21,18,15,9,16,6
Q7_22,33,29,27,22,22,21,15,12,19,7
Q7_23,45,42,42,35,35,31,22,20,26,15
Q7_24,37,36,33,31,31,27,18,15,23,9
Q7_25,30,28,26,24,24,19,13,13,17,8
Q7_26,26,24,23,21,21,18,11,12,16,6
Q7_27,31,26,25,22,22,19,13,12,18,7
Q7_28,36,32,31,26,26,23,18,13,21,9
Q7_29,35,35,34,29,29,25,17,17,22,11
Q7_30,41,37,34,31,31,27,17,17,18,15
